applicant_id,age,income,employment_years,credit_score,loan_amount,loan_term_months,existing_loans_count,marital_status,education_level,loan_purpose,loan_approved
5f290716-4514-4cb6-b639-050e5b62592d,59,77026,3,795,8516,24,2,Single,High School,Home,1
9d380774-7f7f-4c67-81fd-17d175f31f01,49,79402,19,625,42197,60,4,Married,Master,Personal,0
6e09d81d-12eb-4df3-862d-f78eecc9d94d,35,141649,10,486,15469,48,0,Married,Master,Personal,1
cc1c26d0-ec5f-4a3b-884a-1a7101133d39,63,123930,21,354,23235,24,4,Divorced,High School,Personal,1
f482d247-2f72-4c0b-8213-5317a29af9c7,28,57282,7,813,21248,36,3,Divorced,Bachelor,Home,1
8afc2ae7-7c2c-450c-b89c-c6fd5a55fc2f,41,119449,27,709,37074,24,2,Single,High School,Home,1
b6823971-ce38-4abf-aba9-aff25c1343ee,59,94638,29,316,46738,60,4,Divorced,Master,Car,0
b0496cca-36a3-439f-a11a-bf7734cfb973,39,129802,32,387,41199,24,3,Divorced,High School,Business,1
6756ed5a-4c89-482f-b2ec-95d958e62370,43,58218,32,522,20946,36,1,Single,PhD,Home,0
4e79e935-2b04-4698-bad6-d7de200db79b,31,37950,35,357,32830,60,0,Single,High School,Personal,0
1f190d79-89cf-42a9-a3f9-e4f0791b2ccd,31,79739,26,529,9482,60,3,Married,Master,Business,1
a57a848a-92f8-4e62-896a-92cc2c6132dd,44,137693,19,453,11252,60,0,Single,Bachelor,Car,1
7e8e0384-371c-4ea7-abf6-7f0cf2225280,56,24507,32,572,27866,36,2,Divorced,PhD,Home,0
4cd1a678-4f16-496c-a5b2-7ab6c42b213d,60,66303,24,345,8271,12,1,Divorced,High School,Personal,1
981c4523-a47e-4b0a-a085-a916bcdbe5a3,44,122552,18,751,32828,36,2,Divorced,PhD,Personal,1
ad6eb288-955f-44b0-a01e-99409238f13b,23,99059,20,605,15804,12,3,Married,Master,Personal,1
1cdca1e5-697f-490c-a33f-74387fab34cf,42,44667,32,726,35455,12,1,Divorced,Master,Personal,0
bd0d61a1-f215-4aef-b75e-cd30c6e671e7,22,23992,2,417,47805,36,3,Married,Bachelor,Personal,0
8173d48b-571b-4e31-b557-a2789e6d1e8d,44,126826,13,550,8508,24,0,Divorced,Master,Home,1
408cf4aa-efe2-4ff4-b707-9b5a6ef04378,64,93563,14,702,44744,36,2,Married,Bachelor,Personal,0
d52746a8-8b79-48c3-b2f6-ea279d3790c3,50,107680,32,499,25276,60,0,Divorced,PhD,Home,1
70486690-6536-4bda-ab77-e47494792c05,58,45530,21,445,40879,24,1,Married,Master,Car,0
ebc71c50-56ba-4ac6-a780-15a01129b747,22,130276,0,350,25701,48,4,Divorced,High School,Business,1
d9487953-afb7-4e55-b706-065f942bf533,41,35305,30,667,30628,48,0,Single,High School,Home,0
10d8fe90-e343-437e-b7d0-70fcf59933b6,53,129097,34,619,38694,48,1,Single,High School,Home,1
